,id,face,type,roi,beta
88,2,F1,irrel,D_IFG_l,-0.0529863
102,2,F1,rel,D_IFG_l,0.00237597
116,2,F2,D,D_IFG_l,0.00852943
130,2,F2,I,D_IFG_l,-0.0761968
144,2,F2,irrel,D_IFG_l,-0.052098
158,2,F2,rel,D_IFG_l,0.0163683
172,3,F1,irrel,D_IFG_l,-0.0211493
186,3,F1,rel,D_IFG_l,0.014472
200,3,F2,D,D_IFG_l,-0.0823186
214,3,F2,I,D_IFG_l,0.036274
228,3,F2,irrel,D_IFG_l,0.0423289
242,3,F2,rel,D_IFG_l,0.0312721
256,4,F1,irrel,D_IFG_l,0.049821
270,4,F1,rel,D_IFG_l,0.0385086
284,4,F2,D,D_IFG_l,-0.109764
298,4,F2,I,D_IFG_l,-0.0163101
312,4,F2,irrel,D_IFG_l,0.0295031
326,4,F2,rel,D_IFG_l,-0.0777367
340,6,F1,irrel,D_IFG_l,0.0673235
354,6,F1,rel,D_IFG_l,0.0835746
368,6,F2,D,D_IFG_l,-0.0560223
382,6,F2,I,D_IFG_l,-0.0266385
396,6,F2,irrel,D_IFG_l,0.127733
410,6,F2,rel,D_IFG_l,0.0457579
424,7,F1,irrel,D_IFG_l,-0.0703881
438,7,F1,rel,D_IFG_l,-0.0413808
452,7,F2,D,D_IFG_l,-0.168962
466,7,F2,I,D_IFG_l,0.0490082
480,7,F2,irrel,D_IFG_l,-0.0627802
494,7,F2,rel,D_IFG_l,-0.0554921
508,9,F1,irrel,D_IFG_l,-0.0468749
522,9,F1,rel,D_IFG_l,0.0895661
536,9,F2,D,D_IFG_l,-0.0504345
550,9,F2,I,D_IFG_l,-0.0248654
564,9,F2,irrel,D_IFG_l,0.00754612
578,9,F2,rel,D_IFG_l,0.0130334
592,10,F1,irrel,D_IFG_l,-0.0341502
606,10,F1,rel,D_IFG_l,0.0268092
620,10,F2,D,D_IFG_l,-0.135053
634,10,F2,I,D_IFG_l,0.0304219
648,10,F2,irrel,D_IFG_l,0.0187875
662,10,F2,rel,D_IFG_l,0.0834943
676,11,F1,irrel,D_IFG_l,0.193832
690,11,F1,rel,D_IFG_l,-0.024164
704,11,F2,D,D_IFG_l,-0.160948
718,11,F2,I,D_IFG_l,0.245478
732,11,F2,irrel,D_IFG_l,0.0672963
746,11,F2,rel,D_IFG_l,0.163284
760,15,F1,irrel,D_IFG_l,0.00295146
774,15,F1,rel,D_IFG_l,-0.0147806
788,15,F2,D,D_IFG_l,-0.00502606
802,15,F2,I,D_IFG_l,0.0484423
816,15,F2,irrel,D_IFG_l,-0.0697732
830,15,F2,rel,D_IFG_l,-0.0768169
844,17,F1,irrel,D_IFG_l,-0.0774638
858,17,F1,rel,D_IFG_l,-0.0987954
872,17,F2,D,D_IFG_l,-0.251522
886,17,F2,I,D_IFG_l,0.00308144
900,17,F2,irrel,D_IFG_l,-0.0518725
914,17,F2,rel,D_IFG_l,0.0123734
928,18,F1,irrel,D_IFG_l,0.0598711
942,18,F1,rel,D_IFG_l,0.0427432
956,18,F2,D,D_IFG_l,-0.27011
970,18,F2,I,D_IFG_l,0.216333
984,18,F2,irrel,D_IFG_l,0.0182504
998,18,F2,rel,D_IFG_l,0.0308492
1012,19,F1,irrel,D_IFG_l,0.0372129
1026,19,F1,rel,D_IFG_l,0.0376999
1040,19,F2,D,D_IFG_l,-0.2049
1054,19,F2,I,D_IFG_l,-0.0367603
1068,19,F2,irrel,D_IFG_l,0.118928
1082,19,F2,rel,D_IFG_l,0.0017116
1096,21,F1,irrel,D_IFG_l,-0.0766124
1110,21,F1,rel,D_IFG_l,0.0536378
1124,21,F2,D,D_IFG_l,-0.155985
1138,21,F2,I,D_IFG_l,0.116402
1152,21,F2,irrel,D_IFG_l,-0.026572
1166,21,F2,rel,D_IFG_l,-0.0394814
1180,22,F1,irrel,D_IFG_l,0.0329196
1194,22,F1,rel,D_IFG_l,0.0653375
1208,22,F2,D,D_IFG_l,0.00125635
1222,22,F2,I,D_IFG_l,0.0852406
1236,22,F2,irrel,D_IFG_l,0.0446895
1250,22,F2,rel,D_IFG_l,0.0678937
1264,23,F1,irrel,D_IFG_l,0.00576818
1278,23,F1,rel,D_IFG_l,-0.0315995
1292,23,F2,D,D_IFG_l,-0.0897479
1306,23,F2,I,D_IFG_l,0.0842465
