family,region,neural_condition,behavior_task,behavior_definition,behavior_variable,n,r,p_parametric,p_permutation,p_fwe_max,survives_fwe_05
representational_warping,IPLl,congruent,wCue,adjusted,wCue_adjusted_congruent,24,0.01428465472,0.9471807357,0.9469205308,1,False
representational_warping,IPL_bilateral,attention,wCue,raw,wCue_raw_attention,24,0.01320765076,0.9511582716,0.9509404906,1,False
representational_warping,Amy_bilateral,attention,wCue,adjusted,wCue_adjusted_attention,24,0.01005184717,0.9628193006,0.9636803632,1,False
representational_warping,mPFC,congruent,rbCue,raw,rbCue_raw_congruent,24,-0.008530957369,0.9684419357,0.968100319,1,False
representational_warping,Insula_bilateral,congruent,rbCue,raw,rbCue_raw_congruent,24,0.007602571063,0.9718748561,0.9718802812,1,False
representational_warping,MFGl,congruent,rbCue,raw,rbCue_raw_congruent,24,-0.00265707763,0.9901686772,0.9901800982,1,False
representational_warping,precuneus_bilateral,attention,wCue,raw,wCue_raw_attention,24,0.002509343916,0.9907152759,0.990700093,1,False
representational_warping,precuneusr,congruent,rbCue,raw,rbCue_raw_congruent,24,0.002256270048,0.9916516309,0.9919500805,1,False
representational_warping,MFG_bilateral,congruent,rbCue,raw,rbCue_raw_congruent,24,-0.001945093266,0.9928029771,0.9925400746,1,False
representational_warping,MFGr,congruent,rbCue,raw,rbCue_raw_congruent,24,-0.0007526037638,0.9972152674,0.9972500275,1,False
