"","id","roi","model","TR","var","LL"
"465",30,"Hippo_L","D2",547,0.0740827823428576,-64.3558999094954
"466",30,"Hippo_R","D2",547,0.0536727106636349,23.7872581401491
"469",30,"mPFC","D2",547,0.050737234441113,39.1701679628689
"471",31,"Amy_L","D2",547,0.302189280736157,-448.861462567135
"472",31,"Amy_R","D2",547,0.416300088227183,-536.47794999862
"473",31,"EC_L","D2",547,1.95839893606846,-959.986186027108
"474",31,"EC_R","D2",547,0.622628362167349,-646.573582270101
"475",31,"Hippo_L","D2",547,0.112026352634801,-177.462094783997
"476",31,"Hippo_R","D2",547,0.0734064430669601,-61.8475120856368
"479",31,"mPFC","D2",547,0.166283628156279,-285.483873229781
"481",1,"Amy_L","E",540,0.121602889762872,-197.338280717036
"482",1,"Amy_R","E",540,0.171359337821249,-289.948823063307
"483",1,"EC_L","E",540,2.35647376237614,-997.661717886403
"484",1,"EC_R","E",540,0.900513009424547,-737.933327683824
"485",1,"Hippo_L","E",540,0.0940607385519768,-127.996879276082
"486",1,"Hippo_R","E",540,0.0916557501112115,-121.003604902275
"489",1,"mPFC","E",540,0.210639355272473,-345.672695288068
"491",2,"Amy_L","E",540,0.236375678282029,-376.796929657993
"492",2,"Amy_R","E",540,0.219833558204359,-357.207973334615
"493",2,"EC_L","E",540,0.707203070540306,-672.688702953515
